,library,max_iter,n,time
0,tensorflow,100,1000,0.0003261566162109375
1,tensorflow,100,1000,0.00021195411682128906
2,tensorflow,100,1000,0.00020503997802734375
3,tensorflow,100,1000,0.0001888275146484375
4,tensorflow,100,1000,0.0002040863037109375
5,tensorflow,100,1000,0.0001480579376220703
6,tensorflow,100,1000,0.00013899803161621094
7,tensorflow,100,1000,0.00013709068298339844
8,tensorflow,100,1000,0.0001373291015625
9,tensorflow,100,1000,0.00013518333435058594
10,tensorflow,100,1000,0.00013518333435058594
11,tensorflow,100,1000,0.00013494491577148438
12,tensorflow,100,1000,0.00013709068298339844
13,tensorflow,100,1000,0.00017309188842773438
14,tensorflow,100,1000,0.00013780593872070312
15,tensorflow,100,1000,0.00013518333435058594
16,tensorflow,100,1000,0.00013589859008789062
17,tensorflow,100,1000,0.0001437664031982422
18,tensorflow,100,1000,0.00012803077697753906
19,tensorflow,100,1000,0.00012803077697753906
20,tensorflow,100,1000,0.00012493133544921875
21,tensorflow,100,1000,0.00012612342834472656
22,tensorflow,100,1000,0.00012803077697753906
23,tensorflow,100,1000,0.0001270771026611328
24,tensorflow,100,1000,0.00013899803161621094
25,tensorflow,100,1000,0.0001971721649169922
26,tensorflow,100,1000,0.00022912025451660156
27,tensorflow,100,1000,0.00025916099548339844
28,tensorflow,100,1000,0.00017189979553222656
29,tensorflow,100,1000,0.00023102760314941406
30,tensorflow,100,1000,0.00020885467529296875
31,tensorflow,100,1000,0.0001728534698486328
32,tensorflow,100,1000,0.0001399517059326172
33,tensorflow,100,1000,0.0001819133758544922
34,tensorflow,100,1000,0.0001590251922607422
35,tensorflow,100,1000,0.0001361370086669922
36,tensorflow,100,1000,0.0001437664031982422
37,tensorflow,100,1000,0.00013494491577148438
38,tensorflow,100,1000,0.00017309188842773438
39,tensorflow,100,1000,0.00014281272888183594
40,tensorflow,100,1000,0.00014019012451171875
41,tensorflow,100,1000,0.0001380443572998047
42,tensorflow,100,1000,0.00015687942504882812
43,tensorflow,100,1000,0.00013494491577148438
44,tensorflow,100,1000,0.00013589859008789062
45,tensorflow,100,1000,0.00013518333435058594
46,tensorflow,100,1000,0.0001552104949951172
47,tensorflow,100,1000,0.00017595291137695312
48,tensorflow,100,1000,0.00019311904907226562
49,tensorflow,100,1000,0.0001380443572998047
50,tensorflow,100,1000,0.0001327991485595703
51,tensorflow,100,1000,0.00018405914306640625
52,tensorflow,100,1000,0.0001468658447265625
53,tensorflow,100,1000,0.00014090538024902344
54,tensorflow,100,1000,0.00014710426330566406
55,tensorflow,100,1000,0.00015592575073242188
56,tensorflow,100,1000,0.00013685226440429688
57,tensorflow,100,1000,0.00013685226440429688
58,tensorflow,100,1000,0.0001361370086669922
59,tensorflow,100,1000,0.00015592575073242188
60,tensorflow,100,1000,0.00013518333435058594
61,tensorflow,100,1000,0.00013494491577148438
62,tensorflow,100,1000,0.00013399124145507812
63,tensorflow,100,1000,0.00015497207641601562
64,tensorflow,100,1000,0.0001361370086669922
65,tensorflow,100,1000,0.00013303756713867188
66,tensorflow,100,1000,0.0001347064971923828
67,tensorflow,100,1000,0.00015592575073242188
68,tensorflow,100,1000,0.0001361370086669922
69,tensorflow,100,1000,0.00013518333435058594
70,tensorflow,100,1000,0.0001347064971923828
71,tensorflow,100,1000,0.00015473365783691406
72,tensorflow,100,1000,0.00013399124145507812
73,tensorflow,100,1000,0.00013494491577148438
74,tensorflow,100,1000,0.00013494491577148438
75,tensorflow,100,1000,0.00015497207641601562
76,tensorflow,100,1000,0.0001342296600341797
77,tensorflow,100,1000,0.00013375282287597656
78,tensorflow,100,1000,0.0001361370086669922
