,time,n,max_iter,library,version,np_version
0,0.00023146299999954323,1000,100,tensorflow-eager,2.2.0,1.19.0
1,7.353999999182292e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
2,2.7780000007027184e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
3,2.3880000004083968e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
4,2.283000000602442e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
5,2.2240000001616522e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
6,3.489000000023168e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
7,2.480000000026905e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
8,2.362000000033504e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
9,2.266000000084034e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
10,2.269999999526817e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
11,2.2520000007020258e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
12,2.2700000004149956e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
13,2.1989999998695e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
14,2.2849999998797443e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
15,2.3210000001938624e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
16,2.7526999999416546e-05,1000,100,tensorflow-eager,2.2.0,1.19.0
17,5.5459999996898546e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
18,4.087000000652097e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
19,4.353999999651137e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
20,2.606999999876791e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
21,2.3420000001550534e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
22,3.8199999998767e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
23,2.1718999999364996e-05,1000,100,tensorflow-eager,2.2.0,1.19.0
24,4.706000000354038e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
25,2.5079999996791003e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
26,2.9750000001271815e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
27,2.841999999780853e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
28,2.3039999996754545e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
29,2.2980000000671907e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
30,2.2169999995824696e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
31,2.2769999992178214e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
32,2.2199999998306907e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
33,2.2729999997750383e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
34,2.2250000002443926e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
35,2.3020000003981522e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
36,2.253999999979328e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
37,8.219000000586618e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
38,2.7730000002890165e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
39,2.3279999998848666e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
40,2.266000000084034e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
41,2.184000000404751e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
42,2.250999999731107e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
43,2.283999999797004e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
44,2.480000000026905e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
45,2.2939999997362293e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
46,2.2240000001616522e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
47,2.184000000404751e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
48,2.3020000003981522e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
49,2.2489999995656262e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
50,2.223000000078912e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
51,2.2199999998306907e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
52,2.2040000002832016e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
53,2.229999999769916e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
54,2.2319999999353968e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
55,2.2289999996871757e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
56,2.1800000000737896e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
57,2.241999999874622e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
58,2.2760000000232594e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
59,2.2519999998138474e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
60,2.212000000056946e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
61,2.2370000003490986e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
62,2.2319999999353968e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
63,2.299999999344493e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
64,2.2270000004098733e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
65,2.3399999999895726e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
66,2.250000000536545e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
67,2.196999999704019e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
68,2.283000000602442e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
69,2.290000000293446e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
70,2.2609999996703323e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
71,2.2569999993393708e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
72,2.494000000297092e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
73,2.304000000563633e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
74,2.2069999996432443e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
75,2.2400000005973197e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
76,2.244000000040103e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
77,2.2580000003102896e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
78,2.245000000122843e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
79,2.269999999526817e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
80,2.210999999974206e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
81,2.2279999996044353e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
82,2.2069999996432443e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
83,2.3330000002985685e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
84,2.2639999999185534e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
85,2.253999999979328e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
86,2.2390000005145794e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
87,2.2390000005145794e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
88,2.2169999995824696e-06,1000,100,tensorflow-eager,2.2.0,1.19.0
