,library,max_iter,n,time
101,tensorflow-eager,100,2782,5.9604644775390625e-06
102,tensorflow-eager,100,2782,1.1205673217773438e-05
103,tensorflow-eager,100,2782,6.9141387939453125e-06
104,tensorflow-eager,100,2782,6.198883056640625e-06
105,tensorflow-eager,100,2782,4.76837158203125e-06
106,tensorflow-eager,100,2782,5.0067901611328125e-06
107,tensorflow-eager,100,2782,5.9604644775390625e-06
108,tensorflow-eager,100,2782,6.198883056640625e-06
109,tensorflow-eager,100,2782,4.76837158203125e-06
110,tensorflow-eager,100,2782,5.245208740234375e-06
111,tensorflow-eager,100,2782,5.0067901611328125e-06
112,tensorflow-eager,100,2782,5.9604644775390625e-06
113,tensorflow-eager,100,2782,6.198883056640625e-06
114,tensorflow-eager,100,2782,4.76837158203125e-06
115,tensorflow-eager,100,2782,5.0067901611328125e-06
116,tensorflow-eager,100,2782,5.0067901611328125e-06
117,tensorflow-eager,100,2782,6.198883056640625e-06
118,tensorflow-eager,100,2782,5.7220458984375e-06
119,tensorflow-eager,100,2782,5.245208740234375e-06
120,tensorflow-eager,100,2782,4.76837158203125e-06
121,tensorflow-eager,100,2782,5.0067901611328125e-06
122,tensorflow-eager,100,2782,5.9604644775390625e-06
123,tensorflow-eager,100,2782,5.9604644775390625e-06
124,tensorflow-eager,100,2782,5.0067901611328125e-06
125,tensorflow-eager,100,2782,5.0067901611328125e-06
126,tensorflow-eager,100,2782,1.0013580322265625e-05
127,tensorflow-eager,100,2782,7.152557373046875e-06
128,tensorflow-eager,100,2782,5.9604644775390625e-06
129,tensorflow-eager,100,2782,7.867813110351562e-06
130,tensorflow-eager,100,2782,5.9604644775390625e-06
131,tensorflow-eager,100,2782,6.198883056640625e-06
132,tensorflow-eager,100,2782,4.76837158203125e-06
133,tensorflow-eager,100,2782,5.0067901611328125e-06
134,tensorflow-eager,100,2782,5.0067901611328125e-06
135,tensorflow-eager,100,2782,5.245208740234375e-06
136,tensorflow-eager,100,2782,5.0067901611328125e-06
137,tensorflow-eager,100,2782,1.0967254638671875e-05
138,tensorflow-eager,100,2782,5.7220458984375e-06
139,tensorflow-eager,100,2782,6.198883056640625e-06
140,tensorflow-eager,100,2782,4.76837158203125e-06
141,tensorflow-eager,100,2782,6.198883056640625e-06
142,tensorflow-eager,100,2782,5.7220458984375e-06
143,tensorflow-eager,100,2782,5.245208740234375e-06
144,tensorflow-eager,100,2782,5.0067901611328125e-06
145,tensorflow-eager,100,2782,5.7220458984375e-06
146,tensorflow-eager,100,2782,5.245208740234375e-06
147,tensorflow-eager,100,2782,4.76837158203125e-06
148,tensorflow-eager,100,2782,5.0067901611328125e-06
149,tensorflow-eager,100,2782,5.0067901611328125e-06
150,tensorflow-eager,100,2782,9.059906005859375e-06
151,tensorflow-eager,100,2782,7.152557373046875e-06
152,tensorflow-eager,100,2782,5.0067901611328125e-06
153,tensorflow-eager,100,2782,5.245208740234375e-06
154,tensorflow-eager,100,2782,5.7220458984375e-06
155,tensorflow-eager,100,2782,5.9604644775390625e-06
156,tensorflow-eager,100,2782,5.0067901611328125e-06
157,tensorflow-eager,100,2782,4.76837158203125e-06
158,tensorflow-eager,100,2782,5.245208740234375e-06
159,tensorflow-eager,100,2782,5.0067901611328125e-06
160,tensorflow-eager,100,2782,5.0067901611328125e-06
161,tensorflow-eager,100,2782,5.9604644775390625e-06
162,tensorflow-eager,100,2782,6.198883056640625e-06
163,tensorflow-eager,100,2782,5.9604644775390625e-06
164,tensorflow-eager,100,2782,5.7220458984375e-06
165,tensorflow-eager,100,2782,5.245208740234375e-06
166,tensorflow-eager,100,2782,4.76837158203125e-06
167,tensorflow-eager,100,2782,5.0067901611328125e-06
168,tensorflow-eager,100,2782,5.0067901611328125e-06
169,tensorflow-eager,100,2782,0.0001201629638671875
170,tensorflow-eager,100,2782,7.867813110351562e-06
171,tensorflow-eager,100,2782,6.198883056640625e-06
172,tensorflow-eager,100,2782,5.245208740234375e-06
173,tensorflow-eager,100,2782,5.9604644775390625e-06
174,tensorflow-eager,100,2782,1.0967254638671875e-05
175,tensorflow-eager,100,2782,8.106231689453125e-06
176,tensorflow-eager,100,2782,5.9604644775390625e-06
177,tensorflow-eager,100,2782,4.76837158203125e-06
178,tensorflow-eager,100,2782,5.0067901611328125e-06
179,tensorflow-eager,100,2782,5.0067901611328125e-06
180,tensorflow-eager,100,2782,5.245208740234375e-06
181,tensorflow-eager,100,2782,5.7220458984375e-06
182,tensorflow-eager,100,2782,5.245208740234375e-06
183,tensorflow-eager,100,2782,5.0067901611328125e-06
184,tensorflow-eager,100,2782,5.9604644775390625e-06
185,tensorflow-eager,100,2782,5.0067901611328125e-06
186,tensorflow-eager,100,2782,5.0067901611328125e-06
187,tensorflow-eager,100,2782,4.76837158203125e-06
188,tensorflow-eager,100,2782,5.9604644775390625e-06
189,tensorflow-eager,100,2782,5.245208740234375e-06
190,tensorflow-eager,100,2782,4.76837158203125e-06
191,tensorflow-eager,100,2782,6.198883056640625e-06
192,tensorflow-eager,100,2782,4.76837158203125e-06
193,tensorflow-eager,100,2782,1.0013580322265625e-05
194,tensorflow-eager,100,2782,6.198883056640625e-06
195,tensorflow-eager,100,2782,4.76837158203125e-06
196,tensorflow-eager,100,2782,5.0067901611328125e-06
197,tensorflow-eager,100,2782,3.218650817871094e-05
198,tensorflow-eager,100,2782,1.3113021850585938e-05
199,tensorflow-eager,100,2782,6.9141387939453125e-06
200,tensorflow-eager,100,7742,4.291534423828125e-05
201,tensorflow-eager,100,7742,1.0967254638671875e-05
202,tensorflow-eager,100,7742,8.106231689453125e-06
203,tensorflow-eager,100,7742,7.867813110351562e-06
204,tensorflow-eager,100,7742,8.344650268554688e-06
205,tensorflow-eager,100,7742,7.867813110351562e-06
206,tensorflow-eager,100,7742,6.9141387939453125e-06
207,tensorflow-eager,100,7742,6.9141387939453125e-06
208,tensorflow-eager,100,7742,7.152557373046875e-06
209,tensorflow-eager,100,7742,8.106231689453125e-06
210,tensorflow-eager,100,7742,8.106231689453125e-06
211,tensorflow-eager,100,7742,2.9802322387695312e-05
212,tensorflow-eager,100,7742,8.296966552734375e-05
213,tensorflow-eager,100,7742,1.1920928955078125e-05
214,tensorflow-eager,100,7742,8.821487426757812e-06
215,tensorflow-eager,100,7742,8.106231689453125e-06
216,tensorflow-eager,100,7742,7.867813110351562e-06
217,tensorflow-eager,100,7742,7.867813110351562e-06
218,tensorflow-eager,100,7742,7.152557373046875e-06
219,tensorflow-eager,100,7742,6.9141387939453125e-06
220,tensorflow-eager,100,7742,8.106231689453125e-06
221,tensorflow-eager,100,7742,7.867813110351562e-06
222,tensorflow-eager,100,7742,1.3113021850585938e-05
223,tensorflow-eager,100,7742,9.059906005859375e-06
224,tensorflow-eager,100,7742,7.867813110351562e-06
225,tensorflow-eager,100,7742,2.8848648071289062e-05
226,tensorflow-eager,100,7742,1.5020370483398438e-05
227,tensorflow-eager,100,7742,1.2874603271484375e-05
228,tensorflow-eager,100,7742,1.4066696166992188e-05
229,tensorflow-eager,100,7742,1.2159347534179688e-05
230,tensorflow-eager,100,7742,1.0967254638671875e-05
231,tensorflow-eager,100,7742,1.1205673217773438e-05
232,tensorflow-eager,100,7742,1.0967254638671875e-05
233,tensorflow-eager,100,7742,1.2159347534179688e-05
234,tensorflow-eager,100,7742,1.0967254638671875e-05
235,tensorflow-eager,100,7742,1.0967254638671875e-05
236,tensorflow-eager,100,7742,1.0967254638671875e-05
237,tensorflow-eager,100,7742,1.0967254638671875e-05
238,tensorflow-eager,100,7742,1.0967254638671875e-05
239,tensorflow-eager,100,7742,1.1205673217773438e-05
240,tensorflow-eager,100,7742,1.0967254638671875e-05
241,tensorflow-eager,100,7742,1.1205673217773438e-05
242,tensorflow-eager,100,7742,1.0967254638671875e-05
243,tensorflow-eager,100,7742,1.0967254638671875e-05
244,tensorflow-eager,100,7742,1.0967254638671875e-05
245,tensorflow-eager,100,7742,1.0967254638671875e-05
246,tensorflow-eager,100,7742,1.7881393432617188e-05
247,tensorflow-eager,100,7742,1.2874603271484375e-05
248,tensorflow-eager,100,7742,1.2159347534179688e-05
249,tensorflow-eager,100,7742,1.621246337890625e-05
